Country,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Mexico,f,75,2021-01-17,22204.628734860282,21026.720473039237,22461.320003495523,859975.3092557238
Mexico,f,75,2021-01-24,22204.628734860282,20305.362436944968,22461.320003495523,878575.439082396
Mexico,f,75,2021-01-31,22204.628734860282,19581.590387138636,22461.320003495523,897188.183493034
Mexico,f,75,2021-02-07,22204.628734860282,18855.655698731796,22461.320003495523,915813.5424876381
Mexico,f,75,2021-02-14,22204.628734860282,18127.831533122488,22461.320003495523,934451.5160662081
Mexico,f,75,2021-02-21,22204.628734860282,17398.408665595263,22461.320003495523,953102.104228744
Mexico,f,75,2021-02-28,22204.628734860282,16667.690970919433,22461.320003495523,971765.3069752462
Mexico,f,75,2021-03-14,22204.628734860282,15935.4957472069,22461.320003495523,990453.7388896801
Mexico,f,75,2021-03-21,22204.628734860282,15202.633365038995,22461.320003495523,1009154.78538808
Mexico,f,80,2020-03-01,0,-138.20198273240874,0,11469.305301347542
Mexico,f,80,2020-03-08,0,-246.47687868352193,0,22945.353410653446
Mexico,f,80,2020-03-15,0,-336.8793106655421,0,34428.159813581005
Mexico,f,80,2020-03-22,0,-465.5412718843486,0,45917.73897677439
Mexico,f,80,2020-03-29,0,-607.6864957533048,0,57414.10434785864
Mexico,f,80,2020-04-05,0,-758.6425356125823,0,68917.26835543971
Mexico,f,80,2020-04-12,0,-900.8503634242585,0,80427.24240910438
Mexico,f,80,2020-04-19,0,-971.871397163703,0,91944.03689942037
Mexico,f,80,2020-04-26,0,-1044.3919627149298,0,103467.66119793625
Mexico,f,80,2020-05-03,0,-985.2252823669714,59.16668034795828,114998.12365718147
Mexico,f,80,2020-05-10,191.9141279308252,-793.3111544361462,251.08080827878348,126535.43161066638
Mexico,f,80,2020-05-17,402.5117379602691,-582.7135444067023,461.6784183082274,138079.59137288216
Mexico,f,80,2020-05-24,708.6089363651644,-276.6163460018071,767.7756167131226,149630.608239301
Mexico,f,80,2020-05-31,1045.9076915601472,60.68240919317577,1105.0743719081056,161188.48648637577
Mexico,f,80,2020-06-07,1481.0028937209772,495.7776113540058,1540.1695740689356,172753.2293715404
Mexico,f,80,2020-06-14,1953.3904124390162,968.1651300720448,2012.5570927869744,184324.8391332096
Mexico,f,80,2020-06-21,2443.4759040689205,1458.250621701949,2502.642584416879,195903.316990779
Mexico,f,80,2020-06-28,2945.5841521979214,1960.35886983095,3004.7508325458793,207488.66314462514
Mexico,f,80,2020-07-05,3403.968724830851,2418.7434424638795,3463.1354051788094,219080.87735526322
Mexico,f,80,2020-07-12,4048.821841364238,3063.5965589972666,4107.988521712196,230679.9596226932
Mexico,f,80,2020-07-19,4671.284416073892,3686.059133706921,4730.451096421851,242285.9099469151
Mexico,f,80,2020-07-26,5270.45614267555,4285.2308603085785,5329.622823023508,253898.72832792895
Mexico,f,80,2020-08-02,5808.405609666148,4823.1803272991765,5867.572290014105,265518.4147657347
Mexico,f,80,2020-08-09,6251.180448677934,5265.955166310962,6310.347129025891,277144.9692603324
Mexico,f,80,2020-08-16,6650.817539149094,5665.592256782123,6709.9842194970515,288778.391811722
Mexico,f,80,2020-08-23,6978.3533057020995,5993.128023335128,7037.519986050058,300418.6824199036
Mexico,f,80,2020-08-30,7248.834149136996,6263.608866770024,7308.000829484954,312065.8410848771
Mexico,f,80,2020-09-06,7511.3270475933095,6526.101765226338,7570.493727941268,323719.8678066425
Mexico,f,80,2020-09-13,7699.930351201353,6714.705068834382,7759.097031549311,335380.7625851998
Mexico,f,80,2020-09-20,7871.784771726988,6886.559489360016,7930.951452074946,347048.52542054903
Mexico,f,80,2020-09-27,8060.084538949988,7074.859256583017,8119.251219297947,358723.15631269023
Mexico,f,80,2020-10-04,8060.084538949988,7148.863376461466,8193.255339176396,370404.6552616233
Mexico,f,80,2020-10-11,8197.128046471931,7285.906883983409,8330.298846698339,382093.02226734837
Mexico,f,80,2020-10-18,8345.633100415795,7434.411937927272,8478.803900642202,393788.25732986536
Mexico,f,80,2020-10-25,8479.119720456672,7567.898557968149,8612.290520683078,405490.36044917424
Mexico,f,80,2020-11-01,8684.215922053096,7772.994759564573,8817.386722279503,417199.3316252751
Mexico,f,80,2020-11-08,8916.666964597065,8005.445802108542,9049.837764823471,428915.1708581678
Mexico,f,80,2020-11-15,9161.343396917442,8250.12223442892,9294.51419714385,440637.8781478525
Mexico,f,80,2020-11-22,9431.247564931073,8520.026402442549,9564.418365157479,452367.45349432906
Mexico,f,80,2020-11-29,9715.518242334683,8804.297079846161,9848.68904256109,464103.8968975976
Mexico,f,80,2020-12-06,10009.433059465684,9098.211896977162,10142.603859692092,475847.20835765806
Mexico,f,80,2020-12-13,10416.40843968656,9505.187277198036,10549.579239912966,487597.38787451043
Mexico,f,80,2020-12-20,10825.996807520465,9914.775645031941,10959.167607746871,499354.43544815475
Mexico,f,80,2020-12-27,11365.880907488092,10454.659744999568,11499.051707714498,511118.35107859096
Mexico,f,80,2021-01-03,11750.865164772018,10839.644002283496,11884.035964998426,522889.1347658191
Mexico,f,80,2021-01-10,11750.865164772018,9917.642961974418,11884.035964998426,534666.7865098392
Mexico,f,80,2021-01-17,11750.865164772018,8989.66695728512,11884.035964998426,546451.3063106512
Mexico,f,80,2021-01-24,11750.865164772018,8056.805272185692,11884.035964998426,558242.6941682552
Mexico,f,80,2021-01-31,11750.865164772018,7120.207173212178,11884.035964998426,570040.9500826511
Mexico,f,80,2021-02-07,11750.865164772018,6181.061281480553,11884.035964998426,581846.0740538388
Mexico,f,80,2021-02-14,11750.865164772018,5240.5738325465545,11884.035964998426,593658.0660818185
Mexico,f,80,2021-02-21,11750.865164772018,4299.946423257051,11884.035964998426,605476.9261665902
Mexico,f,80,2021-02-28,11750.865164772018,3360.3538674530923,11884.035964998426,617302.6543081538
Mexico,f,80,2021-03-14,11750.865164772018,2422.3780761742582,11884.035964998426,629142.1185633013
Mexico,f,80,2021-03-21,11750.865164772018,1487.6242157415102,11884.035964998426,640988.4508752406
Mexico,f,85,2020-03-01,0,-96.12388834081617,0,6912.345432864637
